"parameter_set_id","description","strategy","mean_estimated_rate","mean_true_rate","mean_bias","mean_bias_percent","lower_ci_mean_bias","upper_ci_mean_bias","lower_ci_mean_bias_percent","upper_ci_mean_bias_percent","monitoring_param_set","bias_v","bias_factor","p_sets_select","p_monitor","spp_param_set","species","V","mu_trips","theta_trips","mu_sets","theta_sets","beta_0","sigma_x","sigma_z","theta"
7,"Baseline_psets0.4","trips",7.48262797652912,7.46456980477966,0.0180581717494521,0.263454110987964,-1.26801035378308,1.55676396918489,-17.2268474539401,20.1921545975288,1,0,0,0.4,0.3,1,"Market species",50,10,1.13,26,1.8,1.7,0.41,0.67,0.42
7,"Baseline_psets0.4","vessels",7.48328050699044,7.46456980477966,0.0187107022107791,0.304255874444575,-2.15788076743671,2.48594936209164,-27.4420481194253,33.5130514043172,1,0,0,0.4,0.3,1,"Market species",50,10,1.13,26,1.8,1.7,0.41,0.67,0.42
8,"Baseline_psets0.4","sets",7.51548442634153,7.52471440577406,-0.00922997943253818,-0.125551267019241,-0.408540974734711,0.347034032262303,-5.55331096026135,4.48622332587509,1,0,0,0.4,1,1,"Market species",50,10,1.13,26,1.8,1.7,0.41,0.67,0.42
8,"Baseline_psets0.4","trips",7.52454993833944,7.52471440577406,-0.000164467434625761,-0.00170826396841592,-0.333658338521442,0.329450769153107,-4.41265318025798,4.25705909372453,1,0,0,0.4,1,1,"Market species",50,10,1.13,26,1.8,1.7,0.41,0.67,0.42
8,"Baseline_psets0.4","vessels",7.53514232282412,7.52471440577406,0.0104279170500563,0.134457300494136,-0.357687758020562,0.349075366037206,-4.6060842303302,4.48924843177105,1,0,0,0.4,1,1,"Market species",50,10,1.13,26,1.8,1.7,0.41,0.67,0.42
9,"Baseline_psets0.5","sets",7.50203289045552,7.48348056861803,0.0185523218374937,0.260547865560607,-0.701317559877519,0.718603885339102,-8.67731479630179,9.47117637202542,1,0,0,0.5,0.3,1,"Market species",50,10,1.13,26,1.8,1.7,0.41,0.67,0.42
9,"Baseline_psets0.5","trips",7.47866252835388,7.48348056861803,-0.00481804026414941,-0.0735069549940647,-1.22591548569974,1.37648511909394,-16.110469189018,17.9172644369565,1,0,0,0.5,0.3,1,"Market species",50,10,1.13,26,1.8,1.7,0.41,0.67,0.42
9,"Baseline_psets0.5","vessels",7.47645598098247,7.48348056861803,-0.00702458763555269,0.0354920987221142,-2.28645892219204,2.24908268251334,-28.579379623716,28.6137598332012,1,0,0,0.5,0.3,1,"Market species",50,10,1.13,26,1.8,1.7,0.41,0.67,0.42
10,"Baseline_psets0.5","sets",7.46758637656588,7.47498021972247,-0.00739384315658788,-0.101843777382537,-0.320463564332776,0.296101737063142,-4.15230875518214,3.80184434076519,1,0,0,0.5,1,1,"Market species",50,10,1.13,26,1.8,1.7,0.41,0.67,0.42
10,"Baseline_psets0.5","trips",7.46884557010905,7.47498021972247,-0.00613464961341725,-0.0832394353091102,-0.273862882560129,0.276100400169488,-3.5302493763275,3.67160638512618,1,0,0,0.5,1,1,"Market species",50,10,1.13,26,1.8,1.7,0.41,0.67,0.42
10,"Baseline_psets0.5","vessels",7.48586059548052,7.47498021972247,0.0108803757580523,0.138673124434694,-0.2610277365669,0.331356766896484,-3.52084999808111,4.20686283481651,1,0,0,0.5,1,1,"Market species",50,10,1.13,26,1.8,1.7,0.41,0.67,0.42
11,"Baseline_psets0.6","sets",7.49247276716352,7.4928200355472,-0.000347268383677882,0.00310178290462419,-0.621136151544616,0.645429800605993,-8.20119270368293,8.58352014096988,1,0,0,0.6,0.3,1,"Market species",50,10,1.13,26,1.8,1.7,0.41,0.67,0.42
11,"Baseline_psets0.6","trips",7.51996516652999,7.4928200355472,0.0271451309827872,0.350244831248908,-1.20353633833149,1.43985108246345,-16.1397793942952,18.5964305259995,1,0,0,0.6,0.3,1,"Market species",50,10,1.13,26,1.8,1.7,0.41,0.67,0.42
11,"Baseline_psets0.6","vessels",7.51221427698547,7.4928200355472,0.0193942414382627,0.328390352419777,-2.14390842183575,2.64963527039425,-27.9149490151653,35.1128552760022,1,0,0,0.6,0.3,1,"Market species",50,10,1.13,26,1.8,1.7,0.41,0.67,0.42
12,"Baseline_psets0.6","sets",7.43906807759492,7.44324931760081,-0.00418124000589346,-0.0593932515406765,-0.24307685045751,0.244160768155541,-3.41646021174597,3.09628134659108,1,0,0,0.6,1,1,"Market species",50,10,1.13,26,1.8,1.7,0.41,0.67,0.42
12,"Baseline_psets0.6","trips",7.44791087515892,7.44324931760081,0.00466155755810263,0.0597502555617105,-0.225112691910789,0.243385245871491,-2.91323295050425,3.10903808540296,1,0,0,0.6,1,1,"Market species",50,10,1.13,26,1.8,1.7,0.41,0.67,0.42
12,"Baseline_psets0.6","vessels",7.44288837041335,7.44324931760081,-0.000360947187462739,0.00525290901592217,-0.230827563076564,0.225201242730467,-2.94588436475145,3.06745998882127,1,0,0,0.6,1,1,"Market species",50,10,1.13,26,1.8,1.7,0.41,0.67,0.42
13,"Baseline_psets0.7","sets",7.48794376042933,7.49045490362797,-0.00251114319863676,-0.0454826375897395,-0.550294444924785,0.593866430621925,-7.34666779510072,8.13098914280284,1,0,0,0.7,0.3,1,"Market species",50,10,1.13,26,1.8,1.7,0.41,0.67,0.42
13,"Baseline_psets0.7","trips",7.4892465580712,7.49045490362797,-0.00120834555677183,-0.0663052505946699,-1.2251188699754,1.37326481739344,-16.4470939004259,17.5479999582257,1,0,0,0.7,0.3,1,"Market species",50,10,1.13,26,1.8,1.7,0.41,0.67,0.42
13,"Baseline_psets0.7","vessels",7.48741932044509,7.49045490362797,-0.00303558318287997,0.0556110727095376,-2.20140406979915,2.29859588275002,-27.7320954126202,30.2974429710517,1,0,0,0.7,0.3,1,"Market species",50,10,1.13,26,1.8,1.7,0.41,0.67,0.42
14,"Baseline_psets0.7","sets",7.46645324871219,7.46318244389632,0.00327080481587032,0.0439033623734478,-0.213802553762995,0.19683660805554,-2.80562851441883,2.57360555257148,1,0,0,0.7,1,1,"Market species",50,10,1.13,26,1.8,1.7,0.41,0.67,0.42
14,"Baseline_psets0.7","trips",7.46921725053687,7.46318244389632,0.00603480664055141,0.0875601700341841,-0.173142037443703,0.182936138514043,-2.32133914635334,2.48322052021468,1,0,0,0.7,1,1,"Market species",50,10,1.13,26,1.8,1.7,0.41,0.67,0.42
14,"Baseline_psets0.7","vessels",7.46146367004729,7.46318244389632,-0.00171877384902392,-0.0284588637396711,-0.192941842501786,0.193761793372991,-2.61115649577161,2.5908997909836,1,0,0,0.7,1,1,"Market species",50,10,1.13,26,1.8,1.7,0.41,0.67,0.42
15,"Baseline_psets0.8","sets",7.44752264938074,7.45207718693965,-0.00455453755890652,-0.056413790129818,-0.486552441365114,0.562393716370378,-6.18935913510053,6.99019203043139,1,0,0,0.8,0.3,1,"Market species",50,10,1.13,26,1.8,1.7,0.41,0.67,0.42
15,"Baseline_psets0.8","trips",7.40779751719539,7.45207718693965,-0.0442796697442528,-0.59678344667789,-1.17760741434615,1.24683008047463,-15.3434265229494,16.0345115357587,1,0,0,0.8,0.3,1,"Market species",50,10,1.13,26,1.8,1.7,0.41,0.67,0.42
15,"Baseline_psets0.8","vessels",7.45568998462284,7.45207718693965,0.00361279768319096,0.0806517538578641,-2.17667946515074,2.33980649974097,-27.6001274546087,31.8853676082007,1,0,0,0.8,0.3,1,"Market species",50,10,1.13,26,1.8,1.7,0.41,0.67,0.42
16,"Baseline_psets0.8","sets",7.41666705900839,7.41510151844378,0.00156554056460812,0.0188030004212652,-0.151379102556928,0.146190736472781,-2.09777837845892,1.95546154586038,1,0,0,0.8,1,1,"Market species",50,10,1.13,26,1.8,1.7,0.41,0.67,0.42
16,"Baseline_psets0.8","trips",7.41183941356742,7.41510151844378,-0.00326210487636157,-0.0382042178305378,-0.153409098040374,0.120409614368516,-2.02836599602051,1.73526310624139,1,0,0,0.8,1,1,"Market species",50,10,1.13,26,1.8,1.7,0.41,0.67,0.42
16,"Baseline_psets0.8","vessels",7.41429755584763,7.41510151844378,-0.000803962596144608,-0.0058753715748169,-0.15014972505657,0.133513399165101,-2.00312347387609,1.79674331877329,1,0,0,0.8,1,1,"Market species",50,10,1.13,26,1.8,1.7,0.41,0.67,0.42
17,"Baseline_psets0.9","sets",7.48248421005875,7.47913641823319,0.00334779182556637,0.0416608945607435,-0.501915498753246,0.492461932674819,-6.58449644439054,6.82602220933862,1,0,0,0.9,0.3,1,"Market species",50,10,1.13,26,1.8,1.7,0.41,0.67,0.42
17,"Baseline_psets0.9","trips",7.49557802253761,7.47913641823319,0.0164416043044193,0.276885242917322,-1.19303853541541,1.31019604287034,-15.9455254180829,17.6755919524488,1,0,0,0.9,0.3,1,"Market species",50,10,1.13,26,1.8,1.7,0.41,0.67,0.42
17,"Baseline_psets0.9","vessels",7.52464818198331,7.47913641823319,0.0455117637501183,0.554192643671411,-2.02956943231192,2.71157245654414,-27.2842018570036,36.0333241774713,1,0,0,0.9,0.3,1,"Market species",50,10,1.13,26,1.8,1.7,0.41,0.67,0.42
18,"Baseline_psets0.9","sets",7.47858466708392,7.47943234902622,-0.00084768194230066,-0.0102154820495746,-0.110404178939648,0.0937176305818981,-1.43184240809386,1.22734940810772,1,0,0,0.9,1,1,"Market species",50,10,1.13,26,1.8,1.7,0.41,0.67,0.42
18,"Baseline_psets0.9","trips",7.48025474194683,7.47943234902622,0.000822392920614916,0.00911242097114191,-0.0925363510504049,0.0943527459167549,-1.20996055067468,1.22141302278611,1,0,0,0.9,1,1,"Market species",50,10,1.13,26,1.8,1.7,0.41,0.67,0.42
