"parameter_set_id","description","strategy","mean_estimated_rate","mean_true_rate","mean_bias","mean_bias_percent","lower_ci_mean_bias","upper_ci_mean_bias","lower_ci_mean_bias_percent","upper_ci_mean_bias_percent","monitoring_param_set","p_monitor","bias_v","bias_factor","p_sets_select","spp_param_set","species","V","mu_trips","theta_trips","mu_sets","theta_sets","beta_0","sigma_x","sigma_z","theta"
13,"Baseline 20%","vessels",464.90005706152,475.437840560267,-10.5377834987469,-1.9372842843768,-293.086801107232,454.296606110822,-54.9034459420534,88.9755751371858,4,0.2,0,0,1,2,"Market species + high vessel variance",50,10,1.13,26,1.8,5.6,0.82,0.67,0.42
14,"Vessel bias 20%","sets",475.140964100591,476.01205437364,-0.871090273048462,-0.13528282419223,-54.0454304460051,48.5294387712028,-10.3114066952367,9.70945085000456,5,0.2,-2,0,1,2,"Market species + high vessel variance",50,10,1.13,26,1.8,5.6,0.82,0.67,0.42
14,"Vessel bias 20%","trips",475.256066951606,476.01205437364,-0.755987422034079,-0.218133819222399,-144.085831080697,175.898040681321,-27.2003282118996,34.4387790639845,5,0.2,-2,0,1,2,"Market species + high vessel variance",50,10,1.13,26,1.8,5.6,0.82,0.67,0.42
14,"Vessel bias 20%","vessels",215.567007954498,476.01205437364,-260.445046419141,-53.451248164423,-508.914974453016,-80.520708482134,-77.4233803246802,-19.5409207417217,5,0.2,-2,0,1,2,"Market species + high vessel variance",50,10,1.13,26,1.8,5.6,0.82,0.67,0.42
15,"Trip bias 20%","sets",479.172677518272,479.134780383869,0.0378971344029601,-0.0888020484647824,-49.2045161467627,56.3259116714067,-10.0012285399639,10.7803999615548,6,0.2,0,-2,1,2,"Market species + high vessel variance",50,10,1.13,26,1.8,5.6,0.82,0.67,0.42
15,"Trip bias 20%","trips",270.530636490945,479.134780383869,-208.604143892924,-43.1627988995406,-369.903463409427,-100.678946141925,-58.1407314850493,-24.3081854776141,6,0.2,0,-2,1,2,"Market species + high vessel variance",50,10,1.13,26,1.8,5.6,0.82,0.67,0.42
15,"Trip bias 20%","vessels",481.925414426214,479.134780383869,2.79063404234514,0.633631546231433,-301.568146177297,468.860258820135,-55.1973243633093,93.8736408516456,6,0.2,0,-2,1,2,"Market species + high vessel variance",50,10,1.13,26,1.8,5.6,0.82,0.67,0.42
16,"Baseline - sub-sample sets","sets",478.331004312167,476.36336499454,1.9676393176261,0.30819364501639,-91.2550547824316,113.188855678411,-17.3261066305069,20.9504072380947,7,0.3,0,0,0.2,2,"Market species + high vessel variance",50,10,1.13,26,1.8,5.6,0.82,0.67,0.42
16,"Baseline - sub-sample sets","trips",474.630442424658,476.36336499454,-1.73292256988233,-0.445338755151143,-136.194365026541,172.940318925444,-25.920444645771,33.231659993591,7,0.3,0,0,0.2,2,"Market species + high vessel variance",50,10,1.13,26,1.8,5.6,0.82,0.67,0.42
16,"Baseline - sub-sample sets","vessels",469.72880647552,476.36336499454,-6.63455851902025,-0.994864551257471,-277.871112729472,330.639429778889,-50.327973749509,68.6963490489969,7,0.3,0,0,0.2,2,"Market species + high vessel variance",50,10,1.13,26,1.8,5.6,0.82,0.67,0.42
