"parameter_set_id","description","strategy","mean_estimated_rate","mean_true_rate","mean_bias","mean_bias_percent","lower_ci_mean_bias","upper_ci_mean_bias","lower_ci_mean_bias_percent","upper_ci_mean_bias_percent","monitoring_param_set","p_monitor","bias_v","bias_factor","p_sets_select","spp_param_set","species","V","mu_trips","theta_trips","mu_sets","theta_sets","beta_0","sigma_x","sigma_z","theta"
12,"Trip bias","vessels",9.56317360550858,9.55869503771727,0.00447856779130285,0.0317688570020903,-0.974440315946934,0.95303563128885,-9.33623463186236,10.1514427662924,3,1,0,-2,0.2,2,"Market species + high vessel variance",50,10,1.13,26,1.8,1.7,0.82,0.67,0.42
13,"Baseline 20%","sets",9.61802743542532,9.64761233022208,-0.0295848947967571,-0.318400937591209,-2.15273037924244,2.61969519660214,-21.1552300959165,26.5964044034416,4,0.2,0,0,0.2,2,"Market species + high vessel variance",50,10,1.13,26,1.8,1.7,0.82,0.67,0.42
13,"Baseline 20%","trips",9.57273917678658,9.64761233022208,-0.0748731534354944,-0.607854124529531,-3.16846579756583,3.96951763795423,-31.891417961096,40.6601411927403,4,0.2,0,0,0.2,2,"Market species + high vessel variance",50,10,1.13,26,1.8,1.7,0.82,0.67,0.42
13,"Baseline 20%","vessels",9.53662823673579,9.64761233022208,-0.110984093486287,-0.912960429577323,-6.08777385969326,10.0080801385902,-57.5054374079466,93.106258455788,4,0.2,0,0,0.2,2,"Market species + high vessel variance",50,10,1.13,26,1.8,1.7,0.82,0.67,0.42
14,"Vessel bias 20%","sets",9.61191390419972,9.62690034823006,-0.0149864440303362,-0.0787206468520956,-2.3491991344806,2.85425826416029,-22.7350217905061,28.5903527422058,5,0.2,-2,0,0.2,2,"Market species + high vessel variance",50,10,1.13,26,1.8,1.7,0.82,0.67,0.42
14,"Vessel bias 20%","trips",9.62526133203224,9.62690034823006,-0.00163901619781857,0.112234835672323,-3.28770544200356,4.79332942554544,-30.6514697831541,47.0179800584861,5,0.2,-2,0,0.2,2,"Market species + high vessel variance",50,10,1.13,26,1.8,1.7,0.82,0.67,0.42
14,"Vessel bias 20%","vessels",4.32703084857941,9.62690034823006,-5.29986949965065,-53.7528627428049,-10.1791688125787,-1.5697667416303,-78.4837675081377,-20.3778523594602,5,0.2,-2,0,0.2,2,"Market species + high vessel variance",50,10,1.13,26,1.8,1.7,0.82,0.67,0.42
15,"Trip bias 20%","sets",9.58243422795187,9.59560615507217,-0.0131719271202968,-0.168116509801303,-2.15051363017273,2.57988271258534,-22.1047199471853,26.4509782676886,6,0.2,0,-2,0.2,2,"Market species + high vessel variance",50,10,1.13,26,1.8,1.7,0.82,0.67,0.42
15,"Trip bias 20%","trips",5.43427628465645,9.59560615507217,-4.16132987041572,-43.2826900327565,-7.17540873920078,-1.97935254884513,-58.7865624180185,-21.9002891454697,6,0.2,0,-2,0.2,2,"Market species + high vessel variance",50,10,1.13,26,1.8,1.7,0.82,0.67,0.42
15,"Trip bias 20%","vessels",9.46427570881844,9.59560615507217,-0.131330446253721,-0.861639197358965,-6.27115342464362,9.74933965776813,-59.6676647664695,94.0960477854507,6,0.2,0,-2,0.2,2,"Market species + high vessel variance",50,10,1.13,26,1.8,1.7,0.82,0.67,0.42
16,"Baseline 75%","sets",9.53060859104059,9.56905807442753,-0.038449483386946,-0.33524930875579,-1.29103512346913,1.2613810421506,-11.9844039277713,12.5001051768831,7,0.2,0,0,0.75,2,"Market species + high vessel variance",50,10,1.13,26,1.8,1.7,0.82,0.67,0.42
16,"Baseline 75%","trips",9.54038034531939,9.56905807442753,-0.0286777291081403,-0.107471517812282,-3.21382628391311,3.41730825564639,-28.3551150663093,34.1527823808478,7,0.2,0,0,0.75,2,"Market species + high vessel variance",50,10,1.13,26,1.8,1.7,0.82,0.67,0.42
16,"Baseline 75%","vessels",9.55175265678356,9.56905807442753,-0.0173054176439682,-0.61405732151133,-6.21366793739255,10.0207339914238,-59.1621376090813,93.4211873447108,7,0.2,0,0,0.75,2,"Market species + high vessel variance",50,10,1.13,26,1.8,1.7,0.82,0.67,0.42
17,"Vessel bias 75%","sets",9.59156523917944,9.57036273176727,0.0212025074121653,0.176736647349276,-1.13369649444149,1.3448658573814,-11.4909816001378,12.4508629800898,8,0.2,-2,0,0.75,2,"Market species + high vessel variance",50,10,1.13,26,1.8,1.7,0.82,0.67,0.42
17,"Vessel bias 75%","trips",9.56081046327955,9.57036273176727,-0.00955226848772248,-0.164294292632545,-2.93424996832706,3.71766250948819,-27.4054600347262,38.3138846084025,8,0.2,-2,0,0.75,2,"Market species + high vessel variance",50,10,1.13,26,1.8,1.7,0.82,0.67,0.42
17,"Vessel bias 75%","vessels",4.31228074679244,9.57036273176727,-5.25808198497483,-53.7279081956471,-10.2399593922815,-1.70448466748388,-76.5878389472313,-20.5136435718184,8,0.2,-2,0,0.75,2,"Market species + high vessel variance",50,10,1.13,26,1.8,1.7,0.82,0.67,0.42
18,"Trip bias 75%","sets",9.51765179500329,9.523628961399,-0.00597716639571881,-0.0915639957695922,-1.09052026146676,1.22080344212668,-11.2931262510982,12.4827944037407,9,0.2,0,-2,0.75,2,"Market species + high vessel variance",50,10,1.13,26,1.8,1.7,0.82,0.67,0.42
