"parameter_set_id","description","strategy","mean_estimated_rate","mean_monitored_sets","mean_true_rate","mean_true_catch","mean_estimated_catch","mean_catch_real","lower_ci_catch_real","upper_ci_catch_real","mean_catch_estimated","lower_ci_catch_estimated","upper_ci_catch_estimated","mean_catch_missed","lower_ci_catch_missed","upper_ci_catch_missed","mean_bias","mean_bias_percent","lower_ci_mean_bias","upper_ci_mean_bias","lower_ci_mean_bias_percent","upper_ci_mean_bias_percent","monitoring_param_set","p_monitor","bias_v","bias_factor","p_sets_select","spp_param_set","species","V","mu_trips","theta_trips","mu_sets","theta_sets","beta_0","sigma_x","sigma_z","theta"
7,"Baseline 75%","vessels",7.49519309978829,1933.863,7.45466542163262,96689.198,97077.7309407368,96689.198,66926.45,134455.425,97077.7309407368,57391.8149279364,158567.976938582,-369.420630426535,-46130.9860429797,36889.7627311018,0.0397725425479152,0.662911882318045,-2.69984966932635,3.60492017055642,-34.7759335941038,48.9812680315911,7,0.2,0,0,0.75,1,"Market species",50,10,1.13,26,1.8,1.7,0.41,0.67,0.42
8,"Vessel bias 75%","sets",7.44588984127771,1963.554,7.43604975059,97435.006,97577.5124995661,97435.006,68128.4250000001,134361.75,97577.5124995661,66892.954490548,135023.60775948,-142.506499566073,-9553.70722451953,8892.23699241845,0.00984009068771518,0.127214520465755,-0.664206774239457,0.721738913122615,-8.89956642735722,9.42620659622317,8,0.2,-2,0,0.75,1,"Market species",50,10,1.13,26,1.8,1.7,0.41,0.67,0.42
8,"Vessel bias 75%","trips",7.45533657839239,1963.846,7.43604975059,97435.006,97698.5476950707,97435.006,68128.4250000001,134361.75,97698.5476950707,63176.097638976,144668.081633481,-263.54169507074,-24404.7195707415,19556.3235148239,0.0192868278023957,0.257439493669065,-1.51609884722929,1.92485197201506,-19.3415136680424,25.5360027499603,8,0.2,-2,0,0.75,1,"Market species",50,10,1.13,26,1.8,1.7,0.41,0.67,0.42
8,"Vessel bias 75%","vessels",5.83039469090975,2264.883,7.43604975059,97435.006,76348.3761904199,97435.006,68128.4250000001,134361.75,76348.3761904199,45333.4114802709,119736.053211738,21086.6298095801,-10511.2729928071,52235.9639774551,-1.60565505968024,-21.3350865999926,-3.9105944182058,0.845486155945787,-47.1856455435288,11.3412083308957,8,0.2,-2,0,0.75,1,"Market species",50,10,1.13,26,1.8,1.7,0.41,0.67,0.42
9,"Trip bias 75%","sets",7.44183489506793,1983.798,7.45064741170466,98492.928,98317.9125714149,98492.928,67756.2,134131.125,98317.9125714149,67156.3461926926,133317.332746189,175.015428585148,-9428.9331182568,9864.10551796576,-0.00881251663673076,-0.102254809997591,-0.704723998908712,0.738468811606681,-9.08228702391852,9.78658356449954,9,0.2,0,-2,0.75,1,"Market species",50,10,1.13,26,1.8,1.7,0.41,0.67,0.42
9,"Trip bias 75%","trips",4.24407036994497,2586.592,7.45064741170466,98492.928,56104.9499692672,98492.928,67756.2,134131.125,56104.9499692672,36133.3773500978,78759.3120609135,42387.9780307328,25477.4344558311,63074.6053788461,-3.20657704175969,-42.9303488456463,-4.43806731405743,-2.15896889683485,-52.6744866588891,-31.1081072619634,9,0.2,0,-2,0.75,1,"Market species",50,10,1.13,26,1.8,1.7,0.41,0.67,0.42
9,"Trip bias 75%","vessels",7.46746828504711,1985.256,7.45064741170466,98492.928,98567.841777248,98492.928,67756.2,134131.125,98567.841777248,55477.3298598538,158255.961864407,-74.9137772480245,-41098.6637491125,37523.6052403376,0.0168208733424451,0.323602674179095,-2.74414915750906,3.30504828399954,-36.2609719666634,44.4012253069575,9,0.2,0,-2,0.75,1,"Market species",50,10,1.13,26,1.8,1.7,0.41,0.67,0.42
10,"Baseline","sets",9.5849223195029,2604.15,9.56410648259122,124576.694,124840.619997275,124576.694,76022.5,199023.224999999,124840.619997275,76267.2059893302,200422.390290033,-263.925997274704,-15221.2856965619,14446.2908140814,0.0208158369116761,0.187264453710037,-1.07950005713518,1.20440331453613,-9.60296632793498,12.4294439683957,1,1,0,0,0.2,2,"Market species + high vessel variance",50,10,1.13,26,1.8,1.7,0.82,0.67,0.42
10,"Baseline","trips",9.56244067055897,2603.175,9.56410648259122,124576.694,124546.718138277,124576.694,76022.5,199023.224999999,124546.718138277,76028.681090156,197923.923056755,29.9758617234089,-11706.7941576705,11123.1971172903,-0.00166581203225505,-0.0185896892180526,-0.893015889155545,0.964397966261277,-8.53387543390593,9.46887100222672,1,1,0,0,0.2,2,"Market species + high vessel variance",50,10,1.13,26,1.8,1.7,0.82,0.67,0.42
10,"Baseline","vessels",9.56646773526288,2605.061,9.56410648259122,124576.694,124642.10145181,124576.694,76022.5,199023.224999999,124642.10145181,76075.4742462142,197343.689741017,-65.4074518103008,-13002.9644389325,12334.9891182075,0.00236125267166052,0.00571929154059961,-0.981372467502517,1.03706770387181,-9.68417318093487,10.2487085820619,1,1,0,0,0.2,2,"Market species + high vessel variance",50,10,1.13,26,1.8,1.7,0.82,0.67,0.42
