"parameter_set_id","description","strategy","mean_estimated_rate","mean_monitored_sets","mean_true_rate","mean_true_catch","mean_estimated_catch","mean_catch_real","lower_ci_catch_real","upper_ci_catch_real","mean_catch_estimated","lower_ci_catch_estimated","upper_ci_catch_estimated","mean_catch_missed","lower_ci_catch_missed","upper_ci_catch_missed","mean_bias","mean_bias_percent","lower_ci_mean_bias","upper_ci_mean_bias","lower_ci_mean_bias_percent","upper_ci_mean_bias_percent","monitoring_param_set","p_monitor","bias_v","bias_factor","p_sets_select","spp_param_set","species","V","mu_trips","theta_trips","mu_sets","theta_sets","beta_0","sigma_x","sigma_z","theta","x_axis","plot_group","colour_scale"
5,"Vessel bias 20%","vessels",5.88519982578523,598.022,7.46486474499724,97476.958,76823.179548439,97476.958,67533.7,132192.375,76823.179548439,45253.11405414,122163.328993371,20653.778451561,-15313.7488927739,53287.3841445099,-1.57966491921201,-20.9906362132441,-4.0072187676212,1.188372802038,-48.1880314475009,15.8422535459956,5,0.2,-2,0,0.2,1,"Market species",50,10,1.13,26,1.8,1.7,0.41,0.67,0.42,NA,"vessels","Scnr 2: Bias to low 
 catch rate vessels"
22,"Baseline 20%","vessels",14.060136285919,535.39,13.8827262682564,183229.916,185742.918438145,183229.916,118128.2,267153.55,185742.918438145,79177.5477897103,382815.742266547,-2513.00243814541,-168620.634304754,107686.870410959,0.17741001766263,1.60284514576037,-8.16787709728213,12.8591017705371,-52.5831760692125,85.6709445014861,4,0.2,0,0,0.2,3,"Market species + high trip variance",50,10,1.13,26,1.8,1.7,0.41,1.3,0.42,NA,"vessels","Scnr 2: Randomly 
 selected vessels"
19,"Random sets","sets",13.8888641059611,2624.652,13.872595959234,181848.608,182203.895566113,181848.608,116111.475,263640.8,182203.895566113,114839.921056568,277399.137868077,-355.287566112849,-30482.3200554191,26220.6348409531,0.016268146727165,0.073196063859309,-2.08593648421565,2.20376457732735,-13.5048375549409,14.6653296988514,1,1,0,0,0.2,3,"Market species + high trip variance",50,10,1.13,26,1.8,1.7,0.41,1.3,0.42,NA,"vessels","Scnr 1: Random Sets"
23,"Vessel bias 20%","vessels",10.7638343504604,587.554,13.9013402401218,180372.946,139863.993966224,180372.946,121454.55,258379.625,139863.993966224,66582.3127745333,276738.886391028,40508.9520337759,-68909.3061972259,129211.396778066,-3.13750588966139,-21.9911166571331,-10.0418295010831,5.19925131520016,-62.6584473778884,39.6347651976479,5,0.2,-2,0,0.2,3,"Market species + high trip variance",50,10,1.13,26,1.8,1.7,0.41,1.3,0.42,NA,"vessels","Scnr 2: Bias to low 
 catch rate vessels"
13,"Baseline 20%","vessels",9.53662823673579,521.564,9.64761233022208,126717.913,125328.852230952,126717.913,77390.45,199435.225000001,125328.852230952,47668.2170245067,277414.598775497,1389.06076904776,-129775.277329309,84287.5379192541,-0.110984093486287,-0.912960429577325,-6.08777385969326,10.0080801385902,-57.5054374079465,93.106258455788,4,0.2,0,0,0.2,2,"Market species + high vessel variance",50,10,1.13,26,1.8,1.7,0.82,0.67,0.42,NA,"vessels","Scnr 2: Randomly 
 selected vessels"
10,"Random sets","sets",9.5849223195029,2604.15,9.56410648259122,124576.694,124840.619997275,124576.694,76022.5,199023.224999999,124840.619997275,76267.2059893302,200422.390290033,-263.925997274704,-15221.2856965619,14446.2908140814,0.0208158369116761,0.187264453710037,-1.07950005713518,1.20440331453613,-9.60296632793498,12.4294439683957,1,1,0,0,0.2,2,"Market species + high vessel variance",50,10,1.13,26,1.8,1.7,0.82,0.67,0.42,NA,"vessels","Scnr 1: Random Sets"
14,"Vessel bias 20%","vessels",4.32703084857941,748.746,9.62690034823006,126709.6,56921.6048436958,126709.6,76789.625,204093.675,56921.6048436958,28500.705972024,105795.815007954,69787.9951563042,18848.9544370037,141360.011645047,-5.29986949965065,-53.7528627428049,-10.1791688125786,-1.5697667416303,-78.4837675081377,-20.3778523594603,5,0.2,-2,0,0.2,2,"Market species + high vessel variance",50,10,1.13,26,1.8,1.7,0.82,0.67,0.42,NA,"vessels","Scnr 2: Bias to low 
 catch rate vessels"
40,"Baseline 20%","vessels",0.0105187897393876,525.979,0.0107292063974517,141.052,138.695986247324,141.052,91,209.025,138.695986247324,0,336.39210964245,2.35601375267596,-173.670360305867,133,-0.000210416658064025,-1.94077779466328,-0.0103848741553161,0.0135388716580027,-100,120.846616602067,4,0.2,0,0,0.2,5,"Rare bycatch species",50,10,1.13,26,1.8,-4.9,0.55,0.65,0.42,NA,"vessels","Scnr 2: Randomly 
 selected vessels"
37,"Random sets","sets",0.0106642405071183,2612.785,0.010715980149518,139.905,139.419822793835,139.905,88.975,200,139.419822793835,70.2120204155738,215.719371000426,0.485177206164825,-47.4223880891004,48.0210335288471,-5.17396423997037e-05,-0.378089402788116,-0.00379146444754961,0.00354412383607195,-34.1038584516419,35.3871069966123,1,1,0,0,0.2,5,"Rare bycatch species",50,10,1.13,26,1.8,-4.9,0.55,0.65,0.42,NA,"vessels","Scnr 1: Random Sets"
41,"Vessel bias 20%","vessels",0.00702879020252061,628.882,0.0107322829718638,139.309,91.1297903848403,139.309,89,204.05,91.1297903848403,0,207.313541918429,48.1792096151597,-61.0849056691621,152.388001610305,-0.00370349276934317,-33.9387715668945,-0.0111137008972897,0.00467377588848968,-100,44.4262755850222,5,0.2,-2,0,0.2,5,"Rare bycatch species",50,10,1.13,26,1.8,-4.9,0.55,0.65,0.42,NA,"vessels","Scnr 2: Bias to low 
 catch rate vessels"
