"parameter_set_id","description","strategy","mean_estimated_rate","mean_true_rate","mean_bias","mean_bias_percent","lower_ci_mean_bias","upper_ci_mean_bias","lower_ci_mean_bias_percent","upper_ci_mean_bias_percent","monitoring_param_set","p_monitor","bias_v","bias_factor","p_sets_select","spp_param_set","species","V","mu_trips","theta_trips","mu_sets","theta_sets","beta_0","sigma_x","sigma_z","theta"
8,"Vessel bias 30%","vessels",4.77869546946831,9.56081970612542,-4.78212423665711,-48.7228902631722,-9.44739910512939,-1.46437590859814,-73.7246173480869,-17.4722136572423,11,0.3,-2,0,0.2,2,"Market species + high vessel variance",50,10,1.13,26,1.8,1.7,0.82,0.67,0.42
9,"Trip bias 30%","sets",9.66884695842876,9.6251522176648,0.0436947407639654,0.446654936385385,-1.75272204947803,2.0841655185852,-17.1548230571744,21.1750739684676,12,0.3,0,-2,0.2,2,"Market species + high vessel variance",50,10,1.13,26,1.8,1.7,0.82,0.67,0.42
9,"Trip bias 30%","trips",5.84881381571657,9.6251522176648,-3.77633840194823,-39.0043361323566,-6.57860204422508,-1.57961317585828,-55.5241900532421,-19.222794938334,12,0.3,0,-2,0.2,2,"Market species + high vessel variance",50,10,1.13,26,1.8,1.7,0.82,0.67,0.42
9,"Trip bias 30%","vessels",9.60089889653157,9.6251522176648,-0.0242533211332262,0.356153676180038,-5.68495422978026,7.32687386414839,-47.9011002505628,70.2034209900006,12,0.3,0,-2,0.2,2,"Market species + high vessel variance",50,10,1.13,26,1.8,1.7,0.82,0.67,0.42
10,"Baseline 100%","sets",9.49748049472768,9.52284506862823,-0.0253645739005531,-0.19487126719542,-0.999677031132127,0.959648893544337,-9.77169599937323,10.0983945333025,13,1,0,0,0.2,2,"Market species + high vessel variance",50,10,1.13,26,1.8,1.7,0.82,0.67,0.42
10,"Baseline 100%","trips",9.51409230942955,9.52284506862823,-0.00875275919867794,-0.0499927676620986,-0.919778903118806,0.876360058343831,-8.59014147424869,8.69245173138671,13,1,0,0,0.2,2,"Market species + high vessel variance",50,10,1.13,26,1.8,1.7,0.82,0.67,0.42
10,"Baseline 100%","vessels",9.52262617447572,9.52284506862823,-0.000218894152510949,-0.00743166599457752,-0.890635217267532,0.940760372014517,-8.65404621827235,9.460690262688,13,1,0,0,0.2,2,"Market species + high vessel variance",50,10,1.13,26,1.8,1.7,0.82,0.67,0.42
11,"Vessel bias 100%","sets",9.53206336536032,9.5267972174189,0.00526614794141879,0.0547491813624984,-1.02329452702472,1.05026886626948,-9.66732383564588,10.8557364828557,14,1,-2,0,0.2,2,"Market species + high vessel variance",50,10,1.13,26,1.8,1.7,0.82,0.67,0.42
11,"Vessel bias 100%","trips",9.49396022627036,9.5267972174189,-0.0328369911485377,-0.343103850149964,-0.922961644757735,0.881993267508951,-8.70582076365738,8.37438005291049,14,1,-2,0,0.2,2,"Market species + high vessel variance",50,10,1.13,26,1.8,1.7,0.82,0.67,0.42
11,"Vessel bias 100%","vessels",9.53414765270061,9.5267972174189,0.00735043528170688,0.0487745225526876,-0.944095717811662,1.07146955671985,-9.50803007084534,10.4462944302428,14,1,-2,0,0.2,2,"Market species + high vessel variance",50,10,1.13,26,1.8,1.7,0.82,0.67,0.42
12,"Trip bias 100%","sets",9.61311231659946,9.61570610985542,-0.00259379325595963,-0.00786334548760785,-0.968650398784137,1.04994799472829,-9.39476821135698,10.1356718769394,15,1,0,-2,0.2,2,"Market species + high vessel variance",50,10,1.13,26,1.8,1.7,0.82,0.67,0.42
12,"Trip bias 100%","trips",9.63376845534783,9.61570610985542,0.0180623454924032,0.172198566523178,-0.861075111718918,1.0237168511068,-8.51883874897818,10.5663437259129,15,1,0,-2,0.2,2,"Market species + high vessel variance",50,10,1.13,26,1.8,1.7,0.82,0.67,0.42
12,"Trip bias 100%","vessels",9.63030021006564,9.61570610985542,0.0145941002102115,0.152475973115251,-0.894799096384151,1.00882882865838,-8.42404314500225,9.83808617991785,15,1,0,-2,0.2,2,"Market species + high vessel variance",50,10,1.13,26,1.8,1.7,0.82,0.67,0.42
13,"Baseline 30%","sets",13.8385210647337,13.785499804647,0.0530212600867391,0.354921396466265,-3.35155421256293,4.36896267913427,-23.4683615665468,29.1433497608757,10,0.3,0,0,0.2,3,"Market species + high trip variance",50,10,1.13,26,1.8,1.7,0.41,1.3,0.42
13,"Baseline 30%","trips",13.7328443894772,13.785499804647,-0.0526554151697684,-0.291911837110257,-5.53259555851695,6.43928197361205,-35.9320692992875,47.1993070499496,10,0.3,0,0,0.2,3,"Market species + high trip variance",50,10,1.13,26,1.8,1.7,0.41,1.3,0.42
13,"Baseline 30%","vessels",13.6346440866208,13.785499804647,-0.150855718026234,-1.03604743295119,-6.71534426985012,7.89184108768928,-44.5409024867251,55.2964230115265,10,0.3,0,0,0.2,3,"Market species + high trip variance",50,10,1.13,26,1.8,1.7,0.41,1.3,0.42
14,"Vessel bias 30%","sets",13.9789925615152,13.8609405949134,0.118051966601831,0.704110509287221,-3.48395753990613,4.74829834819823,-22.912905236973,34.5855621848001,11,0.3,-2,0,0.2,3,"Market species + high trip variance",50,10,1.13,26,1.8,1.7,0.41,1.3,0.42
14,"Vessel bias 30%","trips",13.8903643883734,13.8609405949134,0.0294237934600545,0.0990926063038687,-5.22102103082697,7.12579481812548,-36.0728094609021,47.0730362688102,11,0.3,-2,0,0.2,3,"Market species + high trip variance",50,10,1.13,26,1.8,1.7,0.41,1.3,0.42
14,"Vessel bias 30%","vessels",11.0870180743366,13.8609405949134,-2.77392252057679,-19.4081909959263,-8.91277396019852,3.8020095953154,-54.3833578276398,27.6857780541366,11,0.3,-2,0,0.2,3,"Market species + high trip variance",50,10,1.13,26,1.8,1.7,0.41,1.3,0.42
15,"Trip bias 30%","sets",13.8047077262262,13.9025377877975,-0.0978300615712493,-0.587041923627025,-3.9639179024969,4.29807696973336,-26.0131948378049,29.9879541376416,12,0.3,0,-2,0.2,3,"Market species + high trip variance",50,10,1.13,26,1.8,1.7,0.41,1.3,0.42
